Gender,TT_gt_100,Response
F,Y,N
M,N,N
M,N,N
F,Y,Y
F,N,N
F,N,N
F,Y,Y
M,Y,Y
M,Y,N
M,N,N
F,Y,Y
F,Y,Y
M,Y,N
F,Y,Y
F,N,N
M,N,Y
F,Y,Y
M,Y,N
M,N,Y
F,Y,Y
M,N,N
F,Y,Y
M,N,Y
M,N,N
F,Y,Y
F,N,N
F,Y,Y
F,Y,Y
M,N,N
F,Y,Y
F,Y,Y
M,N,Y
F,Y,Y
F,Y,Y
M,N,Y
F,Y,Y
F,Y,Y
F,Y,Y
F,Y,Y
F,Y,Y
M,N,N
F,Y,Y
F,Y,Y
F,Y,Y
F,Y,Y
F,Y,Y
M,N,N
F,Y,Y
F,Y,Y
F,Y,Y
F,Y,Y
M,N,Y
F,Y,Y
M,N,N
F,Y,Y
F,Y,N
M,N,N
M,Y,N
F,N,N
F,Y,Y
M,Y,N
M,Y,N
M,N,N
F,Y,Y
F,N,N
M,N,N
F,Y,Y
F,Y,Y
F,Y,Y
F,Y,N
F,Y,Y
M,N,N
M,N,N
M,Y,N
F,Y,Y
F,Y,Y
M,Y,Y
F,Y,Y
M,N,N
F,N,N
M,N,N
M,N,N
F,Y,Y
F,Y,Y
F,N,N
F,Y,Y
M,N,N
M,N,N
M,N,N
F,Y,Y
M,N,N
M,Y,Y
F,Y,Y
F,Y,Y
F,Y,Y
F,Y,Y
M,N,Y
M,Y,N
M,N,N
M,N,N
F,Y,Y
F,Y,Y
M,N,N
F,Y,Y
M,N,N
F,Y,Y
M,N,N
F,Y,Y
M,N,N
M,N,Y
M,N,N
M,N,N
M,N,N
F,Y,Y
M,Y,N
F,Y,Y
F,Y,Y
M,N,N
M,N,N
F,Y,Y
M,Y,N
M,Y,N
M,N,N
M,N,N
M,Y,N
F,Y,Y
M,N,N
M,N,Y
F,Y,Y
M,N,N
F,Y,Y
M,N,N
F,N,N
M,N,N
F,Y,Y
M,Y,N
M,N,N
M,N,N
M,Y,N
M,Y,Y
F,Y,Y
M,Y,N
F,Y,Y
M,N,N
M,N,N
F,Y,Y
M,N,Y
M,N,N
M,N,N
F,N,N
