Food_Item,energy,protein,fat,calcium,iron
BEEF BRAISED,340,20,28,9,2.6
HAMBURGER,245,21,17,9,2.7
BEEF ROAST,420,15,39,7,2
BEEF STEAK,375,19,32,9,2.6
BEEF CANNED,180,22,10,17,3.7
CHICKEN BROILED,115,20,3,8,1.4
CHICKEN CANNED,170,25,7,12,1.5
BEEF HEART,160,26,5,14,5.9
LAMB LEG ROAST,265,20,20,9,2.6
LAMB SHOULDER ROAST,300,18,25,9,2.3
SMOKED HAM,340,20,28,9,2.5
PORK ROAST,340,19,29,9,2.5
PORK SIMMERED,355,19,30,9,2.4
BEEF TONGUE,205,18,14,7,2.5
VEAL CUTLET,185,23,9,9,2.7
BLUEFISH BAKED,135,22,4,25,0.6
CLAMS RAW,70,11,1,82,6
CLAMS CANNED,45,7,1,74,5.4
CRABMEAT CANNED,90,14,2,38,0.8
HADDOCK FRIED,135,16,5,15,0.5
MACKEREL BROILED,200,19,13,5,1
MACKEREL CANNED,155,16,9,157,1.8
PERCH FRIED,195,16,11,14,1.3
SALMON CANNED,120,17,5,159,0.7
SARDINES CANNED,180,22,9,367,2.5
TUNA CANNED,170,25,7,7,1.2
SHRIMP CANNED,110,23,1,98,2.6
